Time,CensusTract,NumberOfReports
11/2018,277.06,1
11/2018,1008.04,3
11/2018,426.0,4
11/2018,183.0,2
11/2018,982.0,4
11/2018,889.02,3
11/2018,109.0,2
11/2018,430.0,2
11/2018,197.01,2
11/2018,328.0,2
11/2018,679.0,1
11/2018,203.0,2
11/2018,694.0,2
11/2018,194.0,3
11/2018,91.0,2
11/2018,89.0,1
11/2018,235.01,6
11/2018,809.0,3
11/2018,50.01,3
11/2018,99.01,1
11/2018,245.01,1
11/2018,332.02,1
11/2018,209.01,3
11/2018,1010.04,2
11/2018,146.04,2
11/2018,592.0,1
11/2018,403.02,2
11/2018,513.0,3
11/2018,502.02,1
11/2018,166.0,9
11/2018,224.03,3
11/2018,147.0,1
11/2018,158.02,3
11/2018,93.01,5
11/2018,294.0,3
11/2018,124.0,1
11/2018,96.01,2
11/2018,133.0,4
11/2018,443.02,1
11/2018,64.0,4
11/2018,184.0,3
11/2018,260.0,1
11/2018,296.0,4
11/2018,233.01,4
11/2018,141.0,4
11/2018,37.0,3
11/2018,252.0,2
11/2018,65.01,1
11/2018,779.06,3
11/2018,309.02,2
11/2018,335.0,2
11/2018,293.0,3
11/2018,151.0,4
11/2018,238.0,2
11/2018,111.0,3
11/2018,45.0,3
11/2018,378.0,1
11/2018,213.03,2
11/2018,223.0,1
11/2018,799.0,2
11/2018,449.01,1
11/2018,105.0,1
11/2018,303.0,6
11/2018,508.03,4
11/2018,247.0,4
11/2018,369.01,5
11/2018,157.0,1
11/2018,141.02,1
11/2018,374.0,4
11/2018,872.0,1
11/2018,170.05,3
11/2018,164.0,2
11/2018,822.0,4
11/2018,670.0,1
11/2018,25.0,3
11/2018,1139.0,1
11/2018,40.01,2
11/2018,96.0,2
11/2018,223.02,1
11/2018,227.0,5
11/2018,14.01,3
11/2018,146.05,1
12/2018,990.0,1
12/2018,510.02,1
12/2018,189.01,1
12/2018,929.0,1
12/2018,395.0,1
12/2018,648.0,1
11/2018,731.0,4
11/2018,375.04,1
11/2018,121.0,2
11/2018,462.09,1
11/2018,313.0,1
11/2018,360.0,1
11/2018,174.02,4
11/2018,293.01,3
