Time,Geoid,NumberOfReports
03/2017,36061019400,5
12/2017,36061013000,1
10/2017,36081044301,1
09/2017,36005014701,1
06/2017,36061027100,6
11/2017,36005022901,1
03/2017,36081037900,3
02/2017,36081148300,1
08/2017,36081095400,1
06/2017,36081007900,1
11/2017,36081044601,4
09/2017,36061024500,8
06/2017,36047082000,2
06/2017,36081085500,5
02/2017,36005006900,3
07/2017,36047112400,1
01/2017,36081094202,4
01/2017,36005017300,3
01/2017,36061014402,1
12/2017,36005042500,4
03/2017,36061004900,5
02/2017,36047038900,2
03/2017,36047116000,8
12/2017,36047079802,3
06/2017,36061014601,1
11/2017,36005046201,10
05/2017,36005018302,4
10/2017,36061011600,2
01/2017,36061002400,3
06/2017,36047113400,3
01/2017,36081097202,1
02/2017,36061028500,3
09/2017,36081076901,3
10/2017,36081118100,1
08/2017,36061018400,4
05/2017,36005042901,3
11/2017,36061013800,5
11/2017,36047090800,2
08/2017,36047013000,1
12/2017,36047038300,6
11/2017,36047035400,3
12/2017,36085003900,2
06/2017,36047089200,1
05/2017,36047008500,6
12/2017,36005006900,4
07/2017,36061016400,5
04/2017,36005021001,2
08/2017,36005002000,2
10/2017,36085027900,45
05/2017,36005008500,2
07/2017,36005041900,5
12/2017,36047079601,3
03/2017,36047031300,106
02/2017,36005013000,1
04/2017,36047024100,2
09/2017,36047082400,1
09/2017,36005023800,51
04/2017,36047052500,2
03/2017,36081002500,1
11/2017,36061002602,6
09/2017,36081022001,2
03/2017,36061023700,2
07/2017,36005013500,3
03/2017,36061018300,2
03/2017,36005012901,3
01/2017,36061018000,2
09/2017,36047023500,2
11/2017,36047056400,1
10/2017,36061009100,1
01/2017,36061023000,4
03/2017,36081058500,1
05/2017,36005005400,2
09/2017,36081084900,1
10/2017,36005041800,1
11/2017,36005003800,2
10/2017,36061017200,7
05/2017,36081005100,1
09/2017,36061002400,6
05/2017,36081021600,3
02/2017,36081011500,7
04/2017,36005043100,4
10/2017,36061016900,42
12/2017,36005002300,1
09/2017,36047004100,1
08/2017,36061022800,2
05/2017,36047038700,2
07/2017,36061018500,1
02/2017,36061026100,1
08/2017,36047088600,3
09/2017,36081004700,2
05/2017,36005014500,2
08/2017,36081077903,1
01/2017,36047039700,2
