Date,Hour,CensusTract,NumberOfReports
12/21/2018,13,393.0,1
12/21/2018,13,10.01,1
12/21/2018,12,424.0,1
12/26/2018,05,808.0,1
12/26/2018,02,307.0,1
12/26/2018,01,302.01,1
12/26/2018,00,514.0,1
12/25/2018,23,88.0,1
12/25/2018,23,36.01,1
12/25/2018,23,504.01,1
12/25/2018,23,157.0,1
12/25/2018,22,383.0,1
12/25/2018,22,33.0,1
12/25/2018,22,523.0,1
12/25/2018,22,1162.0,1
12/25/2018,21,197.0,1
12/25/2018,21,511.0,1
12/25/2018,21,221.0,1
12/25/2018,19,131.0,1
12/25/2018,19,363.0,1
12/21/2018,12,1017.0,1
12/21/2018,12,90.01,1
12/21/2018,12,63.01,1
12/21/2018,12,194.0,1
12/21/2018,11,352.0,1
12/21/2018,10,200.0,1
12/21/2018,10,690.0,1
12/21/2018,09,205.01,1
12/21/2018,09,363.0,1
12/21/2018,09,910.0,1
12/21/2018,09,403.02,1
12/21/2018,07,264.0,1
12/21/2018,07,54.0,1
12/21/2018,05,213.0,1
12/21/2018,02,277.02,1
12/21/2018,02,121.0,1
12/21/2018,01,172.0,1
12/20/2018,18,393.0,1
12/20/2018,16,232.0,1
12/20/2018,16,779.04,1
12/20/2018,15,225.0,1
12/20/2018,15,93.01,1
12/20/2018,15,229.0,1
12/20/2018,15,99.03,1
12/20/2018,14,378.0,1
12/20/2018,13,146.01,1
12/20/2018,13,1196.0,1
12/20/2018,13,871.0,1
12/20/2018,13,551.0,1
12/20/2018,13,564.0,1
12/20/2018,12,657.02,1
12/20/2018,12,30.01,1
12/20/2018,12,277.04,1
12/20/2018,12,677.0,1
12/20/2018,11,39.0,1
12/20/2018,11,53.02,1
12/20/2018,11,253.0,1
12/20/2018,10,896.0,1
12/20/2018,10,1333.0,1
12/20/2018,10,67.0,1
12/20/2018,10,1441.0,1
12/20/2018,09,79.0,1
12/20/2018,09,175.0,1
12/20/2018,09,213.0,1
12/20/2018,08,153.0,1
12/20/2018,08,200.0,1
12/20/2018,08,146.04,1
12/20/2018,08,179.0,1
12/20/2018,07,33.0,1
12/20/2018,06,208.06,1
12/20/2018,06,454.0,1
12/20/2018,06,309.03,1
12/20/2018,05,179.02,1
12/20/2018,05,6.0,1
12/20/2018,01,200.0,1
12/19/2018,23,385.0,1
12/19/2018,23,26.02,1
12/19/2018,22,972.06,1
12/19/2018,22,195.0,1
12/19/2018,22,158.02,1
12/19/2018,21,385.0,1
12/19/2018,21,429.02,1
12/19/2018,21,237.0,1
12/19/2018,20,139.0,1
12/19/2018,20,175.0,1
12/19/2018,19,383.0,1
12/19/2018,19,241.0,1
12/19/2018,19,966.0,1
12/19/2018,19,39.0,1
12/19/2018,19,82.0,1
12/19/2018,18,549.0,1
12/19/2018,18,53.0,1
12/19/2018,18,330.0,1
12/19/2018,18,462.07,1
12/19/2018,18,75.0,1
12/19/2018,18,797.01,1
12/19/2018,17,512.0,1
12/19/2018,17,265.01,1
12/19/2018,17,98.0,1
12/19/2018,17,622.0,1
12/19/2018,16,224.0,1
12/19/2018,16,24.0,1
12/19/2018,16,171.0,1
12/19/2018,16,427.0,1
12/19/2018,16,303.0,1
12/19/2018,15,70.02,1
12/19/2018,15,703.0,1
12/19/2018,14,583.0,1
12/19/2018,14,413.0,1
12/19/2018,14,251.0,1
12/19/2018,14,33.0,1
12/19/2018,14,310.0,1
12/19/2018,14,89.0,1
12/19/2018,14,493.02,1
12/19/2018,14,195.0,1
12/19/2018,13,76.0,1
12/19/2018,12,56.0,1
12/19/2018,11,259.0,1
12/19/2018,10,200.0,1
12/19/2018,10,129.01,1
12/19/2018,10,33.0,1
12/19/2018,10,1.0,1
12/19/2018,09,15.01,1
12/19/2018,08,45.0,1
12/19/2018,08,43.0,1
12/19/2018,08,271.0,1
12/19/2018,08,82.0,1
12/19/2018,08,663.01,1
12/19/2018,07,192.0,1
12/19/2018,07,233.01,1
12/19/2018,07,411.0,1
12/19/2018,06,149.02,1
12/19/2018,06,205.01,1
12/19/2018,05,210.01,1
12/19/2018,05,1104.0,1
12/19/2018,01,251.0,1
12/19/2018,01,585.0,1
12/19/2018,00,374.01,1
12/19/2018,00,1237.0,1
12/23/2018,16,330.0,1
12/23/2018,16,34.0,1
12/23/2018,16,279.0,1
12/23/2018,15,52.0,1
12/23/2018,15,259.0,1
12/23/2018,14,164.0,1
12/23/2018,12,344.0,1
12/23/2018,12,352.0,1
12/23/2018,12,779.04,1
12/23/2018,12,90.0,1
12/23/2018,11,41.0,1
12/18/2018,23,1156.0,1
12/18/2018,23,533.0,1
12/18/2018,21,334.0,1
12/18/2018,20,664.03,1
12/18/2018,20,516.02,1
12/18/2018,20,151.01,1
12/18/2018,19,228.0,1
12/18/2018,19,138.0,1
12/18/2018,19,374.0,1
12/18/2018,18,211.0,1
12/18/2018,18,889.02,1
12/18/2018,18,245.0,1
12/18/2018,18,336.0,1
12/18/2018,18,890.0,1
12/18/2018,18,146.02,1
12/18/2018,18,227.0,1
12/18/2018,17,258.0,1
12/16/2018,07,944.02,1
12/16/2018,06,182.0,1
12/16/2018,06,1184.0,1
12/16/2018,04,139.0,1
12/16/2018,02,143.0,1
12/16/2018,02,245.0,1
12/16/2018,02,21.0,1
12/16/2018,01,374.0,1
12/16/2018,01,156.01,1
12/16/2018,01,351.02,1
12/16/2018,01,283.0,1
12/16/2018,00,193.0,1
12/16/2018,00,513.0,1
12/15/2018,22,513.0,1
12/15/2018,22,972.04,1
12/15/2018,22,261.0,1
12/15/2018,21,26.01,1
12/15/2018,21,336.0,1
12/15/2018,21,157.0,1
12/15/2018,21,143.0,1
12/15/2018,20,181.0,1
12/15/2018,20,1.01,1
12/15/2018,20,269.0,1
12/15/2018,20,155.0,1
12/15/2018,19,942.02,1
12/15/2018,19,779.07,1
12/15/2018,19,363.0,1
12/15/2018,19,371.0,1
12/15/2018,19,846.02,1
12/15/2018,19,194.0,1
12/15/2018,18,616.01,1
12/15/2018,18,779.07,1
12/15/2018,18,360.01,1
12/15/2018,18,118.0,1
12/15/2018,18,1347.01,1
12/15/2018,17,43.0,1
12/15/2018,17,128.05,1
12/15/2018,17,73.0,1
12/15/2018,17,1.01,1
12/15/2018,17,575.0,1
12/15/2018,17,151.0,1
12/15/2018,16,263.0,1
12/15/2018,16,779.05,1
12/15/2018,14,237.04,1
12/15/2018,14,98.0,1
12/15/2018,14,1126.0,1
12/15/2018,14,910.0,1
12/15/2018,14,545.0,1
12/15/2018,13,22.01,1
12/15/2018,13,1006.0,1
12/15/2018,13,245.0,1
12/15/2018,13,195.0,1
12/15/2018,12,68.0,1
12/15/2018,12,85.0,1
12/15/2018,12,221.02,1
12/15/2018,12,260.0,1
12/15/2018,12,1441.0,1
12/15/2018,11,302.01,2
12/15/2018,11,187.0,1
12/15/2018,11,65.0,1
12/15/2018,10,585.0,1
12/15/2018,10,700.0,1
12/15/2018,09,50.02,1
12/15/2018,09,67.0,1
12/15/2018,09,215.0,1
12/15/2018,07,510.01,1
12/15/2018,07,125.0,1
12/15/2018,02,214.0,1
12/15/2018,01,85.0,1
12/15/2018,01,47.0,1
12/14/2018,23,241.0,1
12/14/2018,23,466.0,1
12/14/2018,23,154.01,1
12/14/2018,23,90.0,1
12/14/2018,22,809.0,1
12/14/2018,22,199.0,1
12/14/2018,22,124.0,1
12/14/2018,21,54.0,1
12/14/2018,21,223.0,2
12/14/2018,21,72.0,1
12/14/2018,21,221.01,1
12/14/2018,21,193.0,1
12/14/2018,21,249.0,1
12/14/2018,20,1196.0,1
12/14/2018,20,233.02,1
12/14/2018,19,139.0,1
12/14/2018,19,506.0,1
12/14/2018,19,1122.0,1
12/14/2018,19,255.0,1
12/14/2018,18,1220.0,1
12/14/2018,18,177.0,1
12/14/2018,18,45.0,1
12/14/2018,18,1106.0,1
12/14/2018,17,417.0,1
12/14/2018,17,181.01,1
12/14/2018,17,71.0,1
12/14/2018,17,45.0,1
12/14/2018,17,134.0,1
12/14/2018,16,170.05,1
12/14/2018,16,910.0,1
12/21/2018,00,8.0,1
12/21/2018,00,231.0,1
12/21/2018,00,154.02,1
12/20/2018,23,438.0,1
12/20/2018,23,183.02,1
12/20/2018,22,610.02,1
12/20/2018,22,224.03,1
12/20/2018,22,309.02,1
12/20/2018,21,336.0,1
12/20/2018,21,41.0,1
12/20/2018,20,451.01,1
12/20/2018,19,720.0,1
12/20/2018,19,139.0,1
12/20/2018,19,129.01,1
12/20/2018,19,1123.0,1
12/20/2018,19,680.0,1
12/20/2018,18,182.0,1
12/20/2018,18,205.01,1
12/20/2018,18,8.0,1
12/20/2018,18,62.0,1
12/20/2018,18,908.0,1
12/20/2018,18,164.0,1
12/20/2018,18,201.0,1
12/14/2018,16,226.0,1
12/14/2018,16,85.0,1
12/14/2018,15,412.0,1
12/14/2018,15,215.0,1
12/14/2018,15,229.02,1
12/14/2018,14,138.0,1
12/14/2018,14,1409.01,1
12/14/2018,14,2.02,1
12/14/2018,14,26.02,1
12/14/2018,13,1104.0,1
12/14/2018,13,988.0,1
12/14/2018,12,345.0,1
12/14/2018,12,143.0,1
12/14/2018,12,908.0,1
12/14/2018,12,696.02,1
12/14/2018,11,737.0,1
12/14/2018,11,910.0,1
12/13/2018,18,66.0,1
12/13/2018,18,75.0,1
